player_name,nationality,goals_scored,assists_provided,dribbles_per_90,interceptions_per_90,tackles_per_90,total_duels_won_per_90,save_percentage,clean_sheets
Anis Ben Slimane,Tunisia,0.0,0.0,0.6,0.6,1.8,9.0,,
Ansu Fati,Spain,0.0,0.0,4.09,0.0,2.05,6.14,,
Ante Budimir,Croatia,0.0,0.0,0.0,0.0,1.67,,,
Anthony Contreras,Costa Rica,0.0,0.0,0.0,0.71,3.57,11.43,,
Anthony Hernandez,Costa Rica,,,,,,,,
Antoine Griezmann,France,0.0,3.0,1.51,1.34,2.34,6.19,,
Antoine Semenyo,Ghana,0.0,0.0,0.0,0.0,0.0,10.0,,
Antonee Robinson,USA,0.0,0.0,1.25,1.75,1.5,5.5,,
Antonio Rudiger,Germany,0.0,0.0,0.0,0.0,0.67,5.67,,
Antonio Silva,Portugal,0.0,0.0,0.0,1.0,1.0,5.0,,
Antony,Brazil,0.0,0.0,6.84,0.53,1.58,6.85,,
Ao Tanaka,Japan,1.0,0.0,0.0,1.57,1.57,5.23,,
Ardon Jashari,Switzerland,,,,,,,,
Arkadiusz Milik,Poland ,0.0,0.0,0.0,0.0,0.0,9.0,,
Armel Bella-Kotchap,Germany,,,,,,,,
Arthur Theate,Belgium,,,,,,,,
Artur Jedrzejczyk,Poland ,0.0,0.0,0.0,0.0,0.0,0.0,,
Assim Madibo,Qatar,,,,,,,,
Atiba Hutchinson,Canada,0.0,0.0,0.56,0.56,2.25,9.56,,
Aurelien Tchouaméni,France,1.0,0.0,0.72,2.02,1.59,4.91,,
Awer Mabil,Australia,0.0,0.0,4.09,4.09,0.0,0.0,,
Axel Disasi,France,0.0,0.0,2.0,2.0,4.0,14.0,,
Axel Witsel,Belgium,0.0,0.0,0.0,1.33,1.33,5.66,,
Ayase Ueda,Japan,,,,,,,,
Aymen Dahmen,Tunisia,,,,,,,,
Aymeric Laporte,Spain,0.0,0.0,0.0,0.6,0.6,4.2,,
Ayrton Preciado,Ecuador ,,,,,,,,
Aziz Behic,Australia,0.0,0.0,3.0,0.75,2.0,5.5,,
Azzedine Ounahi,Morocco ,0.0,0.0,1.89,0.95,1.26,5.21,,
Badr Benoun,Morocco ,0.0,0.0,0.0,1.76,0.0,0.0,,
Bailey Wright,Australia,0.0,0.0,0.0,0.0,0.0,11.24,,
Balbouli,Tunisia,,,,,,,,
Bamba Dieng,Senegal,1.0,0.0,,,,,,
Bartosz Bereszynski,Poland ,0.0,0.0,1.84,0.79,1.58,5.0,,
Bechir Ben Saïd,Tunisia,,,,,,,,
Ben Cabango,Wales,,,,,,,,
Ben Davies,Wales,0.0,0.0,1.13,0.38,1.51,8.67,,
Benjamin Pavard,France,0.0,0.0,0.0,1.01,0.0,0.0,,
Bernardo Silva,Portugal,0.0,0.0,0.5,0.5,0.5,1.76,,
Bilal El Khannous,Morocco ,0.0,0.0,0.0,0.0,0.0,1.61,,
Bilel Ifa,Tunisia,,,,,,,,
Borna Barisic,Croatia,0.0,0.0,0.0,0.0,0.75,11.25,,
Borna Sosa,Croatia,0.0,0.0,0.85,0.42,2.96,5.5,,
Boualem Khoukhi,Qatar,0.0,0.0,0.33,1.0,0.67,2.33,,
Boulaye Dia,Senegal,1.0,0.0,0.56,0.28,0.28,4.76,,
Brandon Aguilera,Costa Rica,0.0,0.0,,,,,,
Breel Embolo,Switzerland,2.0,0.0,1.38,0.0,0.28,4.68,,
Bremer,Brazil,0.0,0.0,0.0,0.83,0.83,9.17,,
Brenden Aaronson,USA,0.0,0.0,6.06,0.87,2.6,6.92,,
Brennan Johnson,Wales,0.0,0.0,4.0,0.0,0.0,0.0,,
Bruno Fernandes,Portugal,2.0,3.0,0.76,0.5,0.76,4.28,,
Bruno Guimaraes,Brazil,0.0,0.0,2.5,0.0,0.0,5.0,,
Bruno Petkovic,Croatia,1.0,0.0,1.17,0.0,2.35,14.48,,
Bryan Mbeumo,Cameroon,,,,,,,,
Bryan Oviedo,Costa Rica,,,,,,,,
Bryan Ruiz,Costa Rica,,,,,,,,
Bukayo Saka,England,3.0,0.0,2.47,0.62,2.16,5.24,,
Callum Wilson,England,0.0,1.0,0.0,0.0,0.0,0.0,,
Cameron Carter-Vickers,USA,0.0,0.0,0.0,0.0,0.0,9.0,,
Cameron Devlin,Australia,,,,,,,,
Carlos Gruezo,Ecuador ,0.0,0.0,0.0,0.0,3.91,3.91,,
Carlos Martinez,Costa Rica,0.0,0.0,0.0,1.96,1.96,5.87,,
Carlos Rodriguez,Mexico ,0.0,0.0,2.0,0.0,0.0,8.44,,
Carlos Soler,Spain,1.0,0.0,1.0,0.0,0.0,2.0,,
Casemiro,Brazil,1.0,0.0,0.46,1.38,2.54,4.84,,
Celso Borges,Costa Rica,0.0,0.0,0.72,1.79,1.79,6.81,,
Cesar Azpilicueta,Spain,0.0,1.0,0.0,0.66,0.66,3.31,,
Cesar Montes,Mexico ,0.0,1.0,0.67,0.67,2.0,7.33,,
Charles De Ketelaere,Belgium,0.0,0.0,,,,,,
Cho Gue-sung,South Korea,,,,,,,,
Cho Yu-min,South Korea,0.0,0.0,,,,,,
Chris Gunter,Wales,,,,,,,,
Chris Mepham,Wales,0.0,0.0,0.0,0.33,2.33,7.33,,
Christian Bassogog,Cameroon,0.0,0.0,4.0,3.91,0.0,,,
Christian Eriksen,Denmark,0.0,0.0,1.33,0.33,0.33,0.67,,
Christian Fassnacht,Switzerland,0.0,0.0,,0.0,0.0,,,
Christian Gunter,Germany,,,,,,,,
Christian Norgaard,Denmark,0.0,0.0,,,,,,
Christian Pulisic,USA,1.0,2.0,1.99,0.0,0.57,5.7,,
Christopher Wooh,Cameroon,0.0,0.0,0.0,1.0,2.0,2.0,,
Cody Gakpo,Netherlands ,3.0,0.0,1.78,0.59,1.59,5.35,,
Collins Fai,Cameroon,0.0,0.0,0.33,1.33,1.0,3.1,,
Connor Roberts,Wales,0.0,0.0,0.0,0.45,1.34,2.69,,
Conor Coady,England,,,,,,,,
Conor Gallagher,England,,,,,,,,
Craig Goodwin,Australia,1.0,0.0,0.0,0.0,1.52,3.04,,
Cristian Roldan,USA,,,,,,,,
Cristian Romero,Argentina,0.0,0.0,0.16,0.49,0.82,5.09,,
Cristiano Ronaldo,Portugal,1.0,0.0,0.62,0.0,0.0,6.49,,
Cyle Larin,Canada,0.0,0.0,1.33,0.0,0.0,1.95,,
Daichi Kamada,Japan,0.0,0.0,1.11,0.0,1.94,4.72,,
Daizen Maeda,Japan,1.0,0.0,0.0,1.48,1.48,3.9,,
Daley Blind,Netherlands ,1.0,1.0,0.42,1.06,2.76,4.88,,
Damian Szymanski,Poland ,0.0,0.0,0.0,3.21,0.0,0.0,,
Dan James,Wales,0.0,0.0,0.58,0.58,0.58,1.73,,
Dani Alves,Brazil,0.0,0.0,0.77,1.54,3.85,7.69,,
Dani Carvajal,Spain,0.0,0.0,0.0,1.34,0.67,1.34,,
Dani Olmo,Spain,1.0,1.0,3.91,0.24,1.22,3.42,,
Daniel Amartey,Ghana,0.0,0.0,0.33,1.0,2.0,6.0,,
Daniel Barnieh Afriyie,Ghana,,,,,,,,
Daniel Chacon,Costa Rica,,,,,,,,
Daniel Kofi Kyereh,Ghana,0.0,0.0,2.0,0.0,6.0,,,
Daniel Schmidt,Japan,,,,,,,,
Daniel Wass,Denmark,,,,,,,,
Danilo,Brazil,0.0,0.0,0.0,0.96,1.6,4.47,,
Danilo Pereira,Portugal,0.0,0.0,1.0,3.0,1.0,14.0,,
Danlad Ibrahim,Ghana,,,,,,,,
Danny Vukovic,Australia,,,,,,,,
Danny Ward,Wales,,,,,,,,
Darko Lazovic,Serbia,0.0,0.0,0.0,0.0,0.0,3.75,,
Darwin Nunez,Uruguay,0.0,0.0,0.74,0.0,1.12,5.95,,
David Raum,Germany,0.0,1.0,1.11,2.58,1.84,7.37,,
David Raya,Spain,,,,,,,,
David Wotherspoon,Canada,0.0,0.0,1.0,0.0,0.0,,,
Davis Epassy,Cameroon,,,,,,,,
Davy Klaassen,Netherlands ,1.0,2.0,0.47,0.47,1.41,3.75,,
Dayne St Clair,Canada,,,,,,,,
Dayot Upamecano,France,0.0,0.0,0.0,1.12,2.06,5.25,,
DeAndre Yedlin,USA,0.0,0.0,0.0,0.0,5.81,11.61,,
Declan Rice,England,0.0,0.0,0.43,2.37,1.29,3.02,,
Dejan Lovren,Croatia,0.0,1.0,0.0,1.38,0.9,6.34,,
Denis Odoi,Ghana,0.0,0.0,0.58,0.0,7.5,7.5,,
Denis Zakaria,Switzerland,0.0,0.0,1.58,4.74,0.0,6.32,,
Denzel Dumfries,Netherlands ,1.0,2.0,1.12,1.31,1.5,6.19,,
Derek Cornelius,Canada,,,,,,,,
Diego Godin,Uruguay,,,,,,,,
Diego Palacios,Ecuador ,,,,,,,,
Diogo Costa,Portugal,,,,,,,,
Diogo Dalot,Portugal,0.0,1.0,0.69,0.69,2.78,7.64,,
Djibril Sow,Switzerland,0.0,1.0,0.33,0.33,0.66,3.65,,
Djorkaeff Reasco,Ecuador ,0.0,0.0,0.0,0.0,0.0,0.0,,
Domagoj Vida,Croatia,,,,,,,,
Dominik Livakovic,Croatia,,,,,,0.26,,
Douglas Lopez,Costa Rica,,,,,,,,
Dries Mertens,Belgium,0.0,0.0,1.18,0.0,2.37,3.55,,
Dusan Tadic,Serbia,0.0,2.0,2.09,0.35,1.4,3.84,,
Dusan Vlahovic,Serbia,1.0,0.0,1.14,0.0,1.14,7.98,,
Dylan Bronn,Tunisia,0.0,0.0,0.0,0.0,1.66,4.41,,
Dylan Levitt,Wales,,,,,,,,
Eden Hazard,Belgium,0.0,0.0,5.04,0.72,0.0,9.36,,
Eder Militao,Brazil,0.0,0.0,0.0,0.77,1.55,4.38,,
Ederson,Brazil,,,,,,,,
Edimilson Fernandes,Switzerland,0.0,0.0,1.26,1.26,1.26,2.52,,
Edinson Cavani,Uruguay,0.0,0.0,0.0,0.0,0.0,1.48,,
Edouard Mendy,Senegal,,,,,,,,
Edson Alvarez,Mexico ,0.0,0.0,0.51,2.05,1.02,13.29,,
Eduardo Camavinga,France,0.0,0.0,1.94,1.94,9.06,17.48,,
Ehsan Hajsafi,Iran,0.0,0.0,0.76,0.76,3.03,5.68,,
Eiji Kawashima,Japan,,,,,,,,
Elisha Owusu,Ghana,,,,,,,,
Ellyes Skhiri,Tunisia,0.0,0.0,0.67,2.33,3.33,5.0,,
Emiliano Martinez,Argentina,0.0,0.0,0.0,0.0,0.0,0.65,,
Enner Valencia,Ecuador ,3.0,0.0,2.1,0.35,0.7,5.25,,
Enzo Ebosse,Cameroon,0.0,0.0,0.0,0.0,4.0,,,
Enzo Fernandez,Argentina,1.0,1.0,0.8,0.48,3.52,7.83,,
Eray Comert,Switzerland,0.0,0.0,0.0,4.09,0.0,2.05,,
Eric Dier,England,0.0,0.0,0.0,0.0,2.65,7.94,,
Eric Garcia,Spain,0.0,0.0,,,,,,
Eric Maxim Choupo-Moting,Cameroon,1.0,0.0,2.48,0.35,1.42,10.63,,
Erick Gutierrez,Mexico ,0.0,0.0,0.0,3.75,1.88,,,
Esteban Alvarado,Costa Rica,,,,,,,,
Ethan Ampadu,Wales,0.0,0.0,0.7,1.4,1.4,4.9,,
Everton Ribeiro,Brazil,0.0,0.0,2.5,0.0,2.5,2.5,,
Exequiel Palacios,Argentina,0.0,0.0,0.0,3.83,1.91,7.66,,
Fabian Frei,Switzerland,0.0,0.0,0.0,4.09,4.09,4.09,,
Fabian Rieder,Switzerland,0.0,0.0,1.34,0.0,4.03,8.06,,
Fabian Schar,Switzerland,0.0,0.0,0.0,1.32,1.32,7.94,,
Fabinho,Brazil,0.0,0.0,0.0,1.0,3.0,5.0,,
Facundo Pellistri,Uruguay,0.0,0.0,2.97,0.0,0.99,1.98,,
Facundo Torres,Uruguay,,,,,,,,
Famara Diedhiou,Senegal,1.0,0.0,0.98,0.0,0.0,11.74,,
Federico Valverde,Uruguay,0.0,0.0,1.0,1.67,1.67,3.33,,
Felix Torres,Ecuador ,0.0,1.0,0.33,1.33,0.67,6.67,,
Ferjani Sassi,Tunisia,0.0,0.0,1.0,1.96,3.91,,,
Fernando Muslera,Uruguay,,,,,,,,
Ferran Torres,Spain,2.0,0.0,4.52,0.0,0.0,2.88,,
Filip Duricic,Serbia,0.0,0.0,0.0,0.0,0.0,,,
Filip Kostic,Serbia,0.0,0.0,1.0,0.0,3.0,3.5,,
Filip Mladenovic,Serbia,0.0,0.0,2.73,0.0,0.0,2.72,,
Firas Al-Buraikan,Saudi Arabia,0.0,1.0,1.67,0.67,1.0,6.36,,
Fode Ballo-Toure,Senegal,0.0,0.0,0.0,0.0,0.0,,,
Formose Mendy,Senegal,,,,,,,,
Fran Karacic,Australia,0.0,0.0,0.0,1.91,2.87,10.53,,
Franco Armani,Argentina,,,,,,,,
Fred,Brazil,0.0,0.0,0.64,0.0,1.28,3.83,,
Frederik Ronnow,Denmark,,,,,,,,
Frenkie de Jong,Netherlands ,1.0,1.0,1.13,1.13,2.65,7.18,,
Gabriel Jesus,Brazil,0.0,0.0,1.96,1.96,1.96,8.81,,
Gabriel Matinelli,Brazil,0.0,0.0,5.68,0.0,1.62,6.49,,
Gael Ondoua,Cameroon,0.0,0.0,0.0,4.0,4.0,10.0,,
Gaku Shibasaki,Japan,,,,,,,,
Garang Kuol,Australia,0.0,0.0,,,,,,
Gareth Bale,Wales,1.0,0.0,0.8,0.4,0.4,5.97,,
Gavi,Spain,1.0,0.0,0.94,0.31,2.51,8.78,,
Georges-Kevin Nkoudou,Cameroon,0.0,0.0,1.0,0.0,0.0,3.6,,
Gerardo Arteaga,Mexico ,,,,,,,,
German Pezzella,Argentina,0.0,0.0,0.0,0.0,0.0,3.16,,
Geronimo Rulli,Argentina,,,,,,,,
Gerson Torres,Costa Rica,0.0,0.0,0.0,0.0,0.0,11.08,,
Ghailene Chaalali,Tunisia,,,,,,,,
Gideon Mensah,Ghana,0.0,0.0,0.0,2.05,1.02,9.2,,
Gio Reyna,USA,0.0,0.0,0.0,0.0,0.0,10.59,,
Giorgian de Arrascaeta,Uruguay,,,,,,,,
Goncalo Ramos,Portugal,3.0,1.0,1.18,0.0,0.59,7.11,,
Gonzalo Montiel,Argentina,0.0,0.0,0.77,0.77,2.31,5.39,,
Gonzalo Plata,Ecuador ,0.0,0.0,4.0,0.67,1.0,7.67,,
Granit Xhaka,Switzerland,0.0,0.0,0.25,0.5,1.5,6.25,,
Gregor Kobel,Switzerland,,,,,,,,
Grzegorz Krychowiak,Poland ,0.0,0.0,0.54,1.35,2.43,6.74,,
Guido Rodriguez,Argentina,0.0,0.0,0.0,0.0,3.16,6.32,,
Guillermo Ochoa,Mexico ,,,,,,,,
Guillermo Varela,Uruguay,0.0,0.0,0.99,1.48,1.98,6.92,,
Haitham Asiri,Saudi Arabia,,,,,,,,
Haji Wright,USA,1.0,0.0,0.67,0.0,1.33,10.0,,
Hakim Ziyech,Morocco ,1.0,1.0,3.67,1.27,1.41,4.65,,
Hannibal Mejbri,Tunisia,0.0,0.0,0.0,,,,,
Hans Vanaken,Belgium,,,,,,,,
Haris Seferovic,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,,
Harry Kane,England,2.0,3.0,1.57,0.0,0.45,6.94,,
Harry Maguire,England,0.0,1.0,0.42,0.84,1.47,8.16,,
Harry Souttar,Australia,0.0,0.0,0.0,1.5,1.0,7.25,,
Harry Wilson,Wales,0.0,0.0,0.0,0.56,2.25,4.5,,
Hassan Al-Haydos,Qatar,0.0,0.0,2.14,0.86,1.29,1.71,,
Hassan Tambakti,Saudi Arabia,0.0,0.0,0.0,1.0,2.0,5.5,,
Hector Herrera,Mexico ,0.0,0.0,0.0,0.33,0.67,5.0,,
Hector Moreno,Mexico ,0.0,0.0,0.0,0.33,0.67,5.0,,
Henry Martin,Mexico ,1.0,0.0,0.0,1.82,0.61,6.08,,
Hernan Galindez,Ecuador ,,,,,,,,
Hidemasa Morita,Japan,0.0,0.0,1.26,0.63,0.0,3.46,,
Hiroki Ito,Japan,0.0,0.0,0.0,0.0,0.0,4.1,,
Hiroki Sakai,Japan,0.0,0.0,1.5,0.75,3.75,9.0,,
Hirving Lozano,Mexico ,0.0,0.0,2.49,0.0,2.49,8.54,,
Homam Ahmed,Qatar,,,,,,,,
Hong Chul,South Korea,0.0,0.0,2.05,2.05,0.0,4.05,,
Hossein Hosseini,Iran,,,,,,,,
Hossein Kanaani,Iran,0.0,0.0,0.0,2.05,0.0,2.05,,
Hugo Guillamon,Spain,1.0,0.0,,,,,,
Hugo Lloris,France,,,,,,1.1,,
Hwang Hee-chan,South Korea,1.0,0.0,7.11,0.0,0.79,5.53,,
Hwang In-beom,South Korea,0.0,0.0,1.07,0.81,1.07,2.96,,
Hwang Ui-jo,South Korea,0.0,0.0,0.86,0.0,0.0,2.57,,
Ibrahima Konate,France,0.0,0.0,0.0,2.16,4.62,8.94,,
Ike Ugbo,Canada,,,,,,,,
Ilias Chair,Morocco ,0.0,0.0,2.05,0.0,2.05,2.05,,
Iliman Ndiaye,Senegal,0.0,1.0,4.6,0.66,0.0,3.94,,
Ilkay Gundogan,Germany,1.0,0.0,0.94,0.47,1.41,6.1,,
Inaki Williams,Ghana,0.0,1.0,36.0,0.0,1.07,3.57,,
Ismaeel Mohammada,Qatar,,,,,,,,
Ismael Kone,Canada,0.0,0.0,0.0,0.0,0.0,0.86,,
Ismail Jakobs,Senegal,0.0,1.0,0.32,1.29,0.0,7.39,,
Ismalia Sarr,Senegal,1.0,0.0,3.4,0.52,0.78,11.77,,
Issahaku Abdul Fatawu,Ghana,,,,,,,,
Issam Jebali,Tunisia,0.0,0.0,0.98,0.0,1.48,4.91,,
Ivan Ilic,Serbia,0.0,0.0,0.0,2.73,0.0,5.46,,
Ivan Perisic,Croatia,1.0,3.0,1.61,0.94,0.8,6.03,,
Ivica Ivusic,Croatia,,,,,,,,
Ivo Grbic,Croatia,,,,,,,,
Jack Grealish,England,1.0,0.0,5.49,3.29,3.29,17.56,,
Jackson Irvine,Australia,0.0,0.0,0.51,0.51,1.01,6.08,,
Jackson Porozo,Ecuador ,0.0,0.0,0.0,2.84,1.89,5.69,,
Jakub Kaminski,Poland ,0.0,0.0,1.55,0.0,2.33,3.88,,
Jakub Kiwior,Poland ,0.0,0.0,0.0,0.76,0.5,2.02,,
Jamal Musiala,Germany,0.0,1.0,10.08,0.35,0.35,9.04,,
James Maddison,England,,,,,,,,
James Paternis,Canada,,,,,,,,
Jamie Maclaren,Australia,0.0,0.0,0.0,1.7,0.0,3.4,,
Jan Bednarek,Poland ,0.0,0.0,0.0,0.0,0.0,0.0,,
Jan Vertonghen,Belgium,0.0,0.0,0.0,1.67,0.0,9.34,,
Jason Cummings,Australia,0.0,0.0,2.65,0.0,0.0,0.0,,
Jassem Gaber,Qatar,,,,,,,,
Jawad El Yamiq,Morocco ,0.0,0.0,0.0,1.46,1.17,5.26,,
Jean Charles Castelletto,Cameroon,1.0,1.0,0.0,3.0,1.5,6.0,,
Jean-Pierre Nsame,Cameroon,,,,,,,,
Jens Stryger Larsen,Denmark,,,,,,,,
Jeong Woo-yeong,South Korea,0.0,0.0,1.96,0.0,0.0,0.0,,
Jeremie Frimpong,Netherlands ,,,,,,,,
Jeremy Doku,Belgium,,,,,,,,
Jeremy Sarmiento,Ecuador ,0.0,0.0,,,,,,
Jerome Ngom,Cameroon,,,,,,,,
Jesper Lindstrom,Denmark,0.0,0.0,5.4,0.0,0.45,4.95,,
Jesus Gallardo,Mexico ,0.0,0.0,1.33,0.33,3.0,5.0,,
Jesús Ferreira,USA,0.0,0.0,1.96,0.0,1.96,5.87,,
Jewison Bennette,Costa Rica,0.0,0.0,3.53,0.0,0.0,2.65,,
Jhegson Mendez,Ecuador ,,,,,,,,
Jo Hyeon-woon,South Korea,,,,,,,,
Joachim Andersen,Denmark,0.0,1.0,,,,,,
Joakim Maehle,Denmark,0.0,0.0,3.25,0.72,3.25,5.42,,
Joao Cancelo,Portugal,0.0,0.0,2.62,0.58,2.04,10.19,,
Joao Felix,Portugal,1.0,2.0,2.16,1.08,0.54,5.13,,
Joao Mario,Portugal,0.0,0.0,1.08,0.0,2.17,2.17,,
Joao Palhinha,Portugal,0.0,0.0,2.57,2.57,5.14,5.14,,
Joe Allen,Wales,0.0,0.0,0.0,0.96,0.96,2.87,,
Joe Morrell,Wales,0.0,0.0,0.0,2.9,,,,
Joe Rodon,Wales,0.0,0.0,0.0,1.33,0.67,2.0,,
Joe Scally,USA,,,,,,,,
Joel Campbell,Costa Rica,0.0,0.0,3.0,0.0,3.0,12.0,,
Joel King,Australia,,,,,,,,
Joel Waterman,Canada,,,,,,,,
Johan Vasquez,Mexico ,,,,,,,,
Johan Venegas,Costa Rica,0.0,0.0,1.22,0.0,0.0,1.22,,
John Stones,England,0.0,0.0,0.21,0.21,0.41,3.3,,
Jonas Hofmann,Germany,0.0,0.0,3.21,0.0,0.0,0.0,,
Jonas Omlin,Switzerland,,,,,,,,
Jonas Wind,Denmark,,,,,,,,
Jonathan David,Canada,0.0,0.0,1.41,0.0,0.47,1.88,,
Jonathan Osorio,Canada,,,,,,,,
Jonny Williams,Wales,,,,,,,,
Jordan Ayew,Ghana,0.0,1.0,2.63,0.66,1.97,5.91,,
Jordan Henderson,England,1.0,0.0,0.0,0.33,1.32,3.96,,
Jordan Morris,USA,0.0,0.0,0.0,0.0,0.0,0.0,,
Jordan Pickford,England,,,,,,,,
Jordan Veretout,France,0.0,0.0,0.0,0.0,2.86,2.86,,
Jordi Alba,Spain,0.0,2.0,1.02,1.02,2.37,4.74,,
Jorge Sanchez,Mexico ,0.0,0.0,2.56,1.02,0.51,4.7,,
Jose Cifuentes,Ecuador ,,,,,,,,
Jose Luis Rodriguez,Uruguay,,,,,,,,
Jose Maria Gimenez,Uruguay,0.0,0.0,0.0,2.33,1.33,7.0,,
Jose Sa,Portugal,,,,,,,,
Joseph Aidoo,Ghana,,,,,,,,
Joshua Kimmich,Germany,0.0,0.0,1.67,1.33,1.67,4.67,,
Josip Juranovic,Croatia,0.0,1.0,0.3,0.3,1.8,3.15,,
Josip Stanisic,Croatia,0.0,0.0,0.0,1.0,3.0,7.0,,
Josip Sutalo,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,,
